Method,Mode,Peak Value,ESR,LDR
4A2A+GRU,1,80,0.033002027047940946,-0.0535780206551868
4A2A+GRU,1,85,0.04176257942850286,-0.03891579652731103
4A2A+GRU,1,90,0.05712789661339668,-0.010161495645106378
4A2A+GRU,1,95,0.06825565540883954,0.0045793468283306105
4A2A+GRU,1,100,0.07783328054129265,0.012526553165469245
4A2A+GRU,0,50,0.019275828856425065,-0.04792303816316501
4A2A+GRU,1,70,0.025342933677895585,-0.060337687952526586
UAD,0,0,0.04053728877268029,0.005256854052736237
UAD,0,5,0.04204757430924366,0.005817654883669476
UAD,0,15,0.0422082975979365,0.005814012648165168
UAD,0,20,0.042225925898625526,0.004714331496756152
UAD,0,25,0.04202956685374599,0.00421396726172496
UAD,0,30,0.03898936159175111,0.0008938781260212636
UAD,0,35,0.040304996084729657,0.0259727762797084
UAD,0,40,0.05339979691526603,0.1398260626127028
UAD,0,45,0.05571806865429721,0.1886930586969786
UAD,0,55,0.038249337904611935,0.09159022794743255
UAD,0,60,0.03633587220120357,0.05369503518000407
UAD,0,65,0.03693430458031966,-0.013109853776381186
UAD,0,70,0.057475118168948,-0.2573780844258069
UAD,0,75,0.11063016004679715,-0.5224935321138897
UAD,0,80,0.1317492374577118,-0.5457797755839024
UAD,0,85,0.07606521618009979,-0.22818163327803642
UAD,0,90,0.06154537535612963,0.038258903529428956
UAD,0,95,0.06712204363431377,0.14524554516123267
UAD,0,100,0.07684388690541952,0.1903684879833496
UAD,1,0,0.042256903780320335,0.006864122531052175
UAD,1,5,0.04241284678657625,0.00728659231121398
UAD,1,15,0.04264722881992857,0.005977133520401523
UAD,1,20,0.0427421783091038,0.004793328058983803
UAD,1,25,0.04251856610380405,0.003598932186602788
UAD,1,30,0.041380010726919644,-0.004340713646743488
UAD,1,35,0.040070132861711155,0.0006327983076284127
UAD,1,40,0.04530538642526106,0.1108577636196344
UAD,1,45,0.050187327247639954,0.17264962519465676
UAD,1,50,0.04678457326806376,0.18168338127553518
UAD,1,55,0.03649749247361369,0.04620711480537487
UAD,1,60,0.03721830624786804,0.03349857841234538
UAD,1,65,0.039226380385859815,-0.033303026792495416
UAD,1,75,0.1336508268183039,-0.5739785423919885
UAD,1,80,0.16738708544309988,-0.6435320570635641
UAD,1,85,0.11665319567937726,-0.3119407177064506
UAD,1,90,0.0893800061166601,-0.05139265666587978
UAD,1,95,0.08822519398803674,0.03077239777992613
UAD,1,100,0.0947187040986576,0.05458283933024344
UAD,0,10,0.04212748753054262,0.006463725755742722
UAD,0,50,0.052330321685171446,0.20165038277612268
UAD,1,10,0.04255696085272419,0.006853940424928595
UAD,1,70,0.068911156348316,-0.2920015457395513
CA-2A,0,0,0.09925123675666454,0.0035576624432227533
CA-2A,0,5,0.10221783790826997,0.004200938330727766
CA-2A,0,15,0.10233286854668897,0.004088282106610386
CA-2A,0,20,0.10086587586037041,-0.0016933573214483744
CA-2A,0,25,0.09726951487156277,-0.021852609887687002
CA-2A,0,30,0.09520084493965267,-0.07878789945222131
CA-2A,0,35,0.09793375542853135,-0.13014757055288761
CA-2A,0,40,0.10128761788513015,-0.12992430930831933
CA-2A,0,45,0.10884697222200292,-0.19012791903109427
CA-2A,0,55,0.14499022766367792,-0.37570878256962104
CA-2A,0,60,0.1755734737974397,-0.5068771540683166
CA-2A,0,65,0.2127149007359637,-0.6474579938078202
CA-2A,0,70,0.198056006962144,-0.48674183281959404
CA-2A,0,75,0.1978128453773753,-0.3354717796750162
CA-2A,0,80,0.20291199684090255,-0.157902152352011
CA-2A,0,85,0.18641448041630632,0.24428207846993288
CA-2A,0,90,0.24461887486072634,0.6969981443911273
CA-2A,0,95,0.3291925285844239,0.8898178309143794
CA-2A,0,100,0.4113242395286609,1.0323215604394242
CA-2A,1,0,0.10239394619273974,0.005225139249145805
CA-2A,1,5,0.10256592822028485,0.005671818568448117
CA-2A,1,15,0.1027155044248716,0.00414521106703436
CA-2A,1,20,0.10102166272567376,-0.002547402773227958
CA-2A,1,25,0.09703035958691905,-0.026494852861623563
CA-2A,1,30,0.09694676214592617,-0.09683056748237107
CA-2A,1,35,0.10488757365905099,-0.18342779896236383
CA-2A,1,40,0.11041217378309756,-0.20758296701232748
CA-2A,1,45,0.12540628263467124,-0.2710020681960055
CA-2A,1,50,0.1493321218525609,-0.36375124522750024
CA-2A,1,55,0.1907025914755104,-0.5249082121856388
CA-2A,1,60,0.22890766726201742,-0.6611134436118578
CA-2A,1,65,0.2786957842247329,-0.8293325299972114
CA-2A,1,75,0.2757832600522274,-0.5286632889751539
CA-2A,1,80,0.2904312618969112,-0.3763389578816456
CA-2A,1,85,0.2655411872960343,0.06557734111959146
CA-2A,1,90,0.2738311155063796,0.5615805561102514
CA-2A,1,95,0.3424183800001426,0.7797261729162899
CA-2A,1,100,0.4228926214356892,0.961299887139218
CA-2A,0,10,0.10249411202892131,0.005106213646195457
CA-2A,0,50,0.12133239398578033,-0.26010618402264374
CA-2A,1,10,0.1029109464602525,0.005497215710596137
CA-2A,1,70,0.2714100711228279,-0.6804276143821495
CLA-2A,0,0,0.08276647967487423,0.02398008000168783
CLA-2A,0,5,0.08434361297792593,0.024633769985163312
CLA-2A,0,15,0.08465846918370068,0.025228184881814997
CLA-2A,0,20,0.08485437722930932,0.02460531221304496
CLA-2A,0,25,0.08506601834447299,0.025492933917530713
CLA-2A,0,30,0.0840877595290159,0.02875045870455395
CLA-2A,0,35,0.09597690337503577,0.09200385855938276
CLA-2A,0,40,0.14788752674169545,0.25674265357441506
CLA-2A,0,45,0.20564281771135523,0.38728661620943594
CLA-2A,0,55,0.09489382673605885,0.04344144680838191
